// These data were taken by Carmen Barbiel and Detlef Diesing
// January, 22th, 2021 in the lab course cell with a gold wire
// and a Pt wire as counter electrode. 
//Reference is Pt wire in same solution in H2 gas.
// solution is 0.1 N H2/SO4
// Potentiostat is HEKA PG 510 with CR 1mA, CF 10 BW 30 
// The oscilloscope is set to 0.04 sec delta t 
// You should get as a scan rate 0.05 V per second
// But check it.
// These data were smoothed with smoothing grade of 111 by Igor Pro



potential_section_smth,current_section_smth
0.05880963970515651,-6.861567162102546e-05
0.05870082151800219,-6.868449585511091e-05
0.05837651406037833,-6.888954171951618e-05
0.05784303164836192,-6.92266117086914e-05
0.05711048848217964,-6.968897899185807e-05
0.05619222986057024,-7.026776497229713e-05
0.0551041201067544,-7.095241914453078e-05
0.05386375603952033,-7.173125950424139e-05
0.05248967571317618,-7.25920286886928e-05
0.05100062386224886,-7.352242282716098e-05
0.04941492012820123,-7.451055624594007e-05
0.04774995688576075,-7.554533466654085e-05
0.04602183385347746,-7.661672096321059e-05
0.04424511988969101,-7.771588939294672e-05
0.04243272076043019,-7.883527504637013e-05
0.04059582630685647,-7.99685339419496e-05
0.03874391109262834,-8.111043495200158e-05
0.03688476794165546,-8.225670732900397e-05
0.03502456171923121,-8.340386715365315e-05
0.0331678990030712,-8.454904308982712e-05
0.03131791594828983,-8.568981718475464e-05
0.02947639033604836,-8.682409098788153e-05
0.02764388399973167,-8.794998183964064e-05
0.02581991889255436,-8.906574951601761e-05
0.02400318498316014,-9.016974998507241e-05
0.0221917723129906,-9.12604110562412e-05
0.02038341433364635,-9.233622412944552e-05
0.01857572621916665,-9.339574681318655e-05
0.01676642091194721,-9.443761246719227e-05
0.01495348737536855,-9.546054427121523e-05
0.01313531951712072,-9.646337280004942e-05
0.01131078976869275,-9.744505698323818e-05
0.009479267407312192,-9.840470858337249e-05
0.007640587427337928,-9.934161995174383e-05
0.005794980322778947,-0.0001002552939717968
0.003942976026846855,-0.0001011454740334328
0.002085296271029285,-0.0001020121708840612
0.0002227488976713335,-0.0001028556825318712
-0.001643864472271446,-0.0001036766032076962
-0.00351381908061643,-0.000104475817795924
-0.005386511143358011,-0.0001052544790818965
-0.007261474073264197,-0.0001060139665046566
-0.009138368583530185,-0.0001067558266761311
-0.0110169509905202,-0.0001074816975432124
-0.01289702589974575,-0.0001081932195645939
-0.01477839061011488,-0.000108891938526275
-0.01666077902118758,-0.0001095792055474879
-0.01854381260181163,-0.0001102560803883048
-0.02042696510991459,-0.0001109232443450884
-0.02230954627346953,-0.0001115809287987505
-0.02419070763144699,-0.0001122288648638968
-0.02606947130544188,-0.0001128662585844571
-0.02794477983215813,-0.0001134917947637932
-0.02981556260144395,-0.0001141036708631841
-0.03168081224844445,-0.0001146996605459819
-0.0335396628697625,-0.0001152772045052423
-0.03539146146106302,-0.0001158335243348395
-0.03723582464914699,-0.0001163657535312346
-0.03907267460374324,-0.0001168710783725823
-0.04090225073344841,-0.0001173468805157642
-0.04272509700255697,-0.0001177908727519938
-0.04454202791607781,-0.0001182012195084426
-0.04635407886500395,-0.0001185766343956176
-0.04816244812331674,-0.0001189164483730587
-0.04996843807124882,-0.000119220643910211
-0.05177340214670426,-0.0001194898527928967
-0.05357870184546205,-0.0001197253178501837
-0.05538567526069123,-0.0001199288216688085
-0.05719561578932761,-0.0001201025880727117
-0.05900975734140788,-0.0001202491644740366
-0.06082926116102612,-0.0001203712948357405
-0.06265519944596308,-0.0001204717936580527
-0.06448853230584821,-0.0001205534309461769
-0.06633007690017426,-0.0001206188365336103
-0.06818047032247242,-0.0001206704296036803
-0.07004013031033622,-0.0001207103761256587
-0.07190921959087287,-0.0001207405736727797
-0.07378762021351011,-0.0001207626602305203
-0.07567492344179755,-0.0001207780415757621
-0.07757043881044673,-0.0001207879308969248
-0.07947322320205386,-0.0001207933945892391
-0.08138212780751979,-0.0001207953994207898
-0.08329585819863594,-0.0001207948581415444
-0.08521304095212537,-0.0001207926726065476
-0.08713228962842573,-0.0001207897751007476
-0.08905226348661177,-0.0001207871693988284
-0.0909717139443082,-0.0001207859729787428
-0.09288951609804869,-0.0001207874607866542
-0.09480468514078039,-0.0001207931093028745
-0.09671637977365066,-0.0001208046378307059
-0.09862389632835385,-0.0001208240424200409
-0.1005266580554254,-0.0001208536170906525
-0.1024242038426335,-0.0001208959573142033
-0.1043161796136856,-0.0001209539420937758
-0.1062023340877274,-0.0001210306932457576
-0.1080825187900491,-0.0001211295132372758
-0.1099566905582561,-0.0001212538056255496
-0.1118249136030375,-0.0001214069842401006
-0.1136873577015741,-0.0001215923782992279
-0.1155442894289728,-0.0001218131404084625
-0.117396054450166,-0.0001220721628629713
-0.1192430506203252,-0.0001223720051398298
-0.1210856936934946,-0.0001227148324092833
-0.1229243794424036,-0.0001231023619503072
-0.1247594475528704,-0.0001235358121728985
-0.1265911534068743,-0.0001240158480676497
-0.1284196535672897,-0.0001245425176543813
-0.1302450093336049,-0.0001251151764184438
-0.1320672102817397,-0.0001257324005228006
-0.1338862165556041,-0.0001263918941961533
-0.1357020153400414,-0.0001270904013379442
-0.1375146840031836,-0.0001278236351861207
-0.1393244504287001,-0.000128586242070446
-0.141131740506148,-0.0001293718152283299
-0.142937203831771,-0.0001301729721252292
-0.1447417113191979,-0.0001309815038131645
-0.1465463222583355,-0.0001317885980747888
-0.148352222787606,-0.0001325851302525514
-0.1501606420103722,-0.0001333620077615232
-0.1519727553607798,-0.0001341105473722888
-0.1537895867298023,-0.0001348228593588681
-0.155611920998275,-0.000135492210203973
