// These data were taken by Carmen Barbiel and Detlef Diesing
// January, 22th, 2021 in the lab course cell with a gold wire
// and a Pt wire as counter electrode. 
//Reference is Pt wire in same solution in H2 gas.
// solution is 0.1 N H2/SO4
// Potentiostat is HEKA PG 510 with CR 1mA, CF 10 BW 30 
// The oscilloscope is set to 0.04 sec delta t 
// You should get as a scan rate 0.05 V per second
// But check it.



potential,current
-0.2557373,-6.7687988e-05
-0.24909973,-6.3568115e-05
-0.24787903,-6.2835693e-05
-0.24627686,-6.130981399999999e-05
-0.24650574,-6.0577393e-05
-0.24490356,-5.9967041e-05
-0.24734497,-6.0638428e-05
-0.24650574,-6.2744141e-05
-0.23994446,-6.4056396e-05
-0.23605347,-6.5002441e-05
-0.23040771,-6.607055699999999e-05
-0.22674561,-6.9732666e-05
-0.22918701,-7.055664099999999e-05
-0.22865295,-7.101440399999999e-05
-0.22689819,-7.296752899999999e-05
-0.22544861,-7.5073242e-05
-0.22750854,-7.6263428e-05
-0.22254944,-7.803344700000001e-05
-0.21522522,-7.949829099999999e-05
-0.2117157,-8.142089799999999e-05
-0.21308899,-8.337402299999999e-05
-0.21568298,-8.3190918e-05
-0.21743774,-8.392334e-05
-0.21118164,-8.4442139e-05
-0.20812988,-8.6456299e-05
-0.19989014,-8.703613300000001e-05
-0.19989014,-8.8012695e-05
-0.19950867,-8.865356399999999e-05
-0.2003479,-9.0576172e-05
-0.20263672,-9.0087891e-05
-0.19958496,-9.0454102e-05
-0.19203186,-9.030151400000001e-05
-0.1889801,-9.2010498e-05
-0.18547058,-9.1827393e-05
-0.18692017,-9.3963623e-05
-0.1890564,-9.2132568e-05
-0.18577576,-9.3231201e-05
-0.18768311,-9.262085e-05
-0.17784119,-9.3261719e-05
-0.17356873,-9.185790999999999e-05
-0.16960144,-9.3109131e-05
-0.17868042,-9.1949463e-05
-0.17684937,-9.1705322e-05
-0.17311096,-9.185790999999999e-05
-0.16769409,-9.197998e-05
-0.16227722,-9.027099600000001e-05
-0.15975952,-9.066772499999999e-05
-0.16441345,-9.0515137e-05
-0.16120911,-8.9691162e-05
-0.16532898,-9.0240479e-05
-0.15701294,-9.0057373e-05
-0.15068054,-8.8745117e-05
-0.14778137,-8.9355469e-05
-0.15045166,-8.898925800000001e-05
-0.15098572,-8.7341309e-05
-0.15762329,-8.883666999999999e-05
-0.14709473,-8.810424799999999e-05
-0.13793945,-8.7890625e-05
-0.13435364,-8.773803700000001e-05
-0.13946533,-8.7188721e-05
-0.14305115,-8.795166e-05
-0.14099121,-8.7341309e-05
-0.13328552,-8.7585449e-05
-0.12504578,-8.7402344e-05
-0.12702942,-8.8165283e-05
-0.12931824,-8.8287354e-05
-0.13130188,-8.9782715e-05
-0.12939453,-9.014892599999999e-05
-0.12054443,-9.1705322e-05
-0.1171875,-9.329223599999999e-05
-0.11039734,-9.5397949e-05
-0.11566162,-9.402465800000001e-05
-0.11611938,-9.5184326e-05
-0.11787415,-9.4696045e-05
-0.11314392,-9.5275879e-05
-0.10543823,-9.500122100000001e-05
-0.10154724,-9.5581055e-05
-0.098800659,-9.442138699999999e-05
-0.10498047,-9.4482422e-05
-0.10681152,-9.2498779e-05
-0.10017395,-9.3078613e-05
-0.09429931599999999,-9.286499e-05
-0.093765259,-9.329223599999999e-05
-0.087738037,-9.2041016e-05
-0.090942383,-9.1644287e-05
-0.09338378899999999,-8.9782715e-05
-0.09170532200000001,-8.9050293e-05
-0.085601807,-8.920288099999999e-05
-0.078201294,-8.9233398e-05
-0.07896423299999999,-8.9263916e-05
-0.071868896,-8.7860107e-05
-0.079040527,-8.682251e-05
-0.08056640599999999,-8.6456299e-05
-0.075759888,-8.5876465e-05
-0.076675415,-8.4564209e-05
-0.06591796900000001,-8.5235596e-05
-0.059127808,-8.410644499999999e-05
-0.059127808,-8.3312988e-05
-0.06546020499999999,-8.4075928e-05
-0.06523132299999999,-8.386230500000001e-05
-0.063095093,-8.0322266e-05
-0.054244995,-8.0993652e-05
-0.051498413,-7.9376221e-05
-0.04776001,-7.8613281e-05
-0.048904419,-7.684326200000001e-05
-0.054855347,-7.5805664e-05
-0.054168701,-7.5195313e-05
-0.049972534,-7.406616200000001e-05
-0.04119873,-7.394409199999999e-05
-0.038146973,-7.2784424e-05
-0.033950806,-7.089233400000001e-05
-0.037231445,-7.1105957e-05
-0.038986206,-6.9702148e-05
-0.039749146,-6.921386699999999e-05
-0.035858154,-6.7962646e-05
-0.032577515,-6.6833496e-05
-0.02571106,-6.4697266e-05
-0.022201538,-6.4941406e-05
